CMDLINE /home/lys/anaconda3/envs/pixloc/bin/python run_7Scenes.py --scene=heads
MEM 1.707031 1698548122.3991
MEM 27.335938 1698548122.4994
MEM 39.878906 1698548122.5998
MEM 69.363281 1698548122.7010
MEM 91.578125 1698548122.8013
MEM 110.445312 1698548122.9017
MEM 145.449219 1698548123.0020
MEM 210.066406 1698548123.1023
MEM 224.906250 1698548123.2027
MEM 240.269531 1698548123.3030
MEM 275.296875 1698548123.4033
MEM 289.457031 1698548123.5037
MEM 291.601562 1698548123.6041
MEM 304.062500 1698548123.7044
MEM 310.074219 1698548123.8047
MEM 315.363281 1698548123.9050
MEM 326.597656 1698548124.0054
MEM 341.417969 1698548124.1057
MEM 348.480469 1698548124.2060
MEM 370.050781 1698548124.3064
MEM 405.730469 1698548124.4067
MEM 437.042969 1698548124.5070
MEM 470.015625 1698548124.6074
MEM 503.710938 1698548124.7077
MEM 537.707031 1698548124.8079
MEM 550.164062 1698548124.9083
MEM 615.242188 1698548125.0086
MEM 705.359375 1698548125.1089
MEM 793.359375 1698548125.2093
MEM 881.359375 1698548125.3096
MEM 969.359375 1698548125.4100
MEM 1057.316406 1698548125.5103
MEM 1102.863281 1698548125.6107
MEM 1135.718750 1698548125.7110
MEM 1168.960938 1698548125.8114
MEM 1202.960938 1698548125.9117
MEM 1234.960938 1698548126.0120
MEM 1268.960938 1698548126.1124
MEM 1302.960938 1698548126.2128
MEM 1334.960938 1698548126.3131
MEM 1368.960938 1698548126.4134
MEM 1400.960938 1698548126.5138
MEM 1434.960938 1698548126.6141
MEM 1468.960938 1698548126.7145
MEM 1500.960938 1698548126.8148
MEM 1534.808594 1698548126.9152
MEM 1568.808594 1698548127.0155
MEM 1600.492188 1698548127.1159
MEM 613.605469 1698548127.2162
MEM 673.675781 1698548127.3165
MEM 702.789062 1698548127.4169
MEM 814.058594 1698548127.5173
MEM 944.781250 1698548127.6177
MEM 1031.773438 1698548127.7180
MEM 1138.335938 1698548127.8184
MEM 1229.921875 1698548127.9187
MEM 1348.144531 1698548128.0191
MEM 1448.953125 1698548128.1194
MEM 1573.515625 1698548128.2198
MEM 1595.722656 1698548128.3201
MEM 1711.359375 1698548128.4205
MEM 1794.320312 1698548128.5208
MEM 1900.261719 1698548128.6212
MEM 1995.707031 1698548128.7215
MEM 2108.980469 1698548128.8218
MEM 2228.382812 1698548128.9222
MEM 2277.289062 1698548129.0225
MEM 2375.050781 1698548129.1229
MEM 2506.238281 1698548129.2232
MEM 2576.140625 1698548129.3236
MEM 2678.843750 1698548129.4239
MEM 2781.250000 1698548129.5242
MEM 2877.593750 1698548129.6247
MEM 2971.007812 1698548129.7250
MEM 3065.656250 1698548129.8253
MEM 3167.574219 1698548129.9257
MEM 3270.550781 1698548130.0260
MEM 3374.031250 1698548130.1264
MEM 3178.164062 1698548130.2267
MEM 3185.902344 1698548130.3271
MEM 3195.230469 1698548130.4274
MEM 3211.257812 1698548130.5278
MEM 3211.257812 1698548130.6282
MEM 3218.824219 1698548130.7285
MEM 3225.773438 1698548130.8288
MEM 3225.773438 1698548130.9292
